7120	381730461 32411484 337167001	32411484
7184	388685251 33022173 343318683	33022173
7248	395581067 33587709 349401066	33587709
7312	402660357 34209329 355662876	34209329
7376	409678498 34784883 361853156	34784883
7440	416882245 35417455 368225051	35417455
7504	424022772 36003047 374523289	36003047
7568	431351035 36646531 381005328	36646531
7632	438613865 37242171 387411441	37242171
7696	446066613 37896588 394003593	37896588
7760	453451789 38502255 400517624	38502255
7824	461029024 39167603 407219891	39167603
7888	468536516 39783288 413841810	39783288
7952	476238249 40459577 420654203	40459577
8016	483868101 41085310 427384054	41085310
8080	491694306 41772530 434306547	41772530
8144	499446504 42408301 441144316	42408301
