7120	70252023 10982349 20340737	10982349
7184	71473196 11177207 20660250	11177207
7248	72762412 11373724 21039699	11373724
7312	74004445 11571862 21363922	11571862
7376	75228215 11772037 21661781	11772037
7440	76579776 11973357 22079404	11973357
7504	77824568 12177016 22382196	12177016
7568	79222453 12381603 22829950	12381603
7632	80488187 12588531 23137409	12588531
7696	81886507 12796766 23569493	12796766
7760	83342998 13052720 24051628	13052720
7824	85022288 13279665 24755860	13279665
7888	86333914 13494009 25077052	13494009
7952	87654973 13709933 25399657	13709933
8016	89113638 13927321 25851876	13927321
8080	90455902 14146690 26179490	14146690
8144	91905130 14367453 26605930	14367453
