7120	198100968 21858564 150520264	21858564
7184	201532769 22239827 153091787	22239827
7248	205220293 22623349 155910938	22623349
7312	209071213 23064316 158891647	23064316
7376	212598316 23458096 161534761	23458096
7440	216152904 23852975 164198280	23852975
7504	219971293 24250116 167117491	24250116
7568	223957599 24706600 170202987	24706600
7632	227607569 25114096 172938155	25114096
7696	231285028 25522628 175693754	25522628
7760	235234217 25933364 178712960	25933364
7824	239355904 26405362 181903238	26405362
7888	243128780 26826570 184730499	26826570
7952	246929057 27248749 187578125	27248749
8016	251009077 27673101 190697357	27673101
8080	255266133 28160597 193992405	28160597
8144	259161904 28595538 196911748	28595538
