7120	80895625 14882361 31767402	14882361
7184	82361621 15143763 32345604	15143763
7248	83898517 15407573 32986657	15407573
7312	85557804 15730044 33748543	15730044
7376	86920241 15999961 34199060	15999961
7440	88410365 16271076 34769646	16271076
7504	89913685 16545235 35345507	16545235
7568	91451257 16820528 35947526	16820528
7632	92949783 17098957 36502318	17098957
7696	94520864 17379095 37122053	17379095
7760	96166716 17661574 37808503	17661574
7824	97942689 18006750 38623964	18006750
7888	99400182 18295428 39105963	18295428
7952	100993303 18585406 39715994	18585406
8016	102599441 18878166 40331122	18878166
8080	104241395 19172198 40973964	19172198
8144	105840956 19469389 41566217	19469389
