0	7500001	0.036659
0	7500001	0.036651
0	7500001	0.036695
0	10000002	0.048830
0	10000002	0.048846
0	10000002	0.048877
0	25000003	0.122033
0	25000003	0.122143
0	25000003	0.122178
0	50000004	0.244515
0	50000004	0.244424
0	50000004	0.244860
0	75000005	0.366544
0	75000005	0.366705
0	75000005	0.366494
0	100000006	0.488572
0	100000006	0.488715
0	100000006	0.488947
0	250000007	1.222108
0	250000007	1.221872
0	250000007	1.220119
0	500000008	2.442307
0	500000008	2.441413
0	500000008	2.441111
0	750000009	3.711886
0	750000009	3.662434
0	750000009	3.664266
