P1_	7500001	0.041984
P1_	7500001	0.041981
P1_	7500001	0.041972
P1_	10000002	0.055792
P1_	10000002	0.055812
P1_	10000002	0.055805
P1_	25000003	0.140021
P1_	25000003	0.140650
P1_	25000003	0.139661
P1_	50000004	0.279334
P1_	50000004	0.279962
P1_	50000004	0.279853
P1_	75000005	0.419827
P1_	75000005	0.418149
P1_	75000005	0.419277
P1_	100000006	0.559280
P1_	100000006	0.558677
P1_	100000006	0.558388
P1_	250000007	1.397386
P1_	250000007	1.396201
P1_	250000007	1.398439
P1_	500000008	2.780666
P1_	500000008	2.776532
P1_	500000008	2.781677
P1_	750000009	4.232620
P1_	750000009	4.165240
P1_	750000009	4.235580
P2_	7500001	0.025512
P2_	7500001	0.023136
P2_	7500001	0.024076
P2_	10000002	0.029009
P2_	10000002	0.029525
P2_	10000002	0.029591
P2_	25000003	0.075606
P2_	25000003	0.072979
P2_	25000003	0.073241
P2_	50000004	0.145781
P2_	50000004	0.144958
P2_	50000004	0.144578
P2_	75000005	0.215496
P2_	75000005	0.216165
P2_	75000005	0.219025
P2_	100000006	0.287081
P2_	100000006	0.286216
P2_	100000006	0.287021
P2_	250000007	0.715436
P2_	250000007	0.722137
P2_	250000007	0.712752
P2_	500000008	1.429899
P2_	500000008	1.419778
P2_	500000008	1.440036
P2_	750000009	2.150420
P2_	750000009	2.138560
P2_	750000009	2.133039
P4_	7500001	0.013412
P4_	7500001	0.014863
P4_	7500001	0.011421
P4_	10000002	0.017255
P4_	10000002	0.017861
P4_	10000002	0.017817
P4_	25000003	0.038227
P4_	25000003	0.038347
P4_	25000003	0.038471
P4_	50000004	0.074741
P4_	50000004	0.073846
P4_	50000004	0.073545
P4_	75000005	0.109339
P4_	75000005	0.107700
P4_	75000005	0.113254
P4_	100000006	0.144951
P4_	100000006	0.143540
P4_	100000006	0.145538
P4_	250000007	0.373459
P4_	250000007	0.374772
P4_	250000007	0.362944
P4_	500000008	0.713236
P4_	500000008	0.713838
P4_	500000008	0.715837
P4_	750000009	1.069135
P4_	750000009	1.070050
P4_	750000009	1.067782
P8_	7500001	0.009773
P8_	7500001	0.008639
P8_	7500001	0.006610
P8_	10000002	0.011448
P8_	10000002	0.010478
P8_	10000002	0.009912
P8_	25000003	0.019733
P8_	25000003	0.021813
P8_	25000003	0.020686
P8_	50000004	0.038508
P8_	50000004	0.039153
P8_	50000004	0.040291
P8_	75000005	0.057731
P8_	75000005	0.060402
P8_	75000005	0.058873
P8_	100000006	0.078324
P8_	100000006	0.077692
P8_	100000006	0.078927
P8_	250000007	0.192142
P8_	250000007	0.191337
P8_	250000007	0.190337
P8_	500000008	0.376841
P8_	500000008	0.626659
P8_	500000008	0.380597
P8_	750000009	0.566070
P8_	750000009	0.568667
P8_	750000009	0.566859
P16_	7500001	0.006836
P16_	7500001	0.006149
P16_	7500001	0.024469
P16_	10000002	0.007961
P16_	10000002	0.010336
P16_	10000002	0.009722
P16_	25000003	0.019078
P16_	25000003	0.018238
P16_	25000003	0.020500
P16_	50000004	0.036996
P16_	50000004	0.035478
P16_	50000004	0.034445
P16_	75000005	0.053359
P16_	75000005	0.051563
P16_	75000005	0.051689
P16_	100000006	0.069229
P16_	100000006	0.070619
P16_	100000006	0.068386
P16_	250000007	0.177839
P16_	250000007	0.168043
P16_	250000007	0.170264
P16_	500000008	0.337694
P16_	500000008	0.333589
P16_	500000008	0.339210
P16_	750000009	0.501826
P16_	750000009	0.704021
P16_	750000009	0.502549
