10000000  0.749848 2.4277586924
25000000  0.284256 2.3633239052
50000000  0.790234 2.4007698985
75000000  0.840655 2.4075988366
100000000  1.11386 2.4296410679
250000000  0.516248 2.3659171560
500000000  1.01431 2.4071437726
750000000  1.52694 2.4109788203
1000000000  2.02242 2.4346377112
1002000000  2.05364 2.4048129175
