65  0.0384706  0.00647436
129  0.0209975  0.00218242
193  0.00188955  0.00558786
257  0.00697464  0.00174938
321  0.0133699  0.0002397
385  0.0129371  0.0003471
449  0.0037494  0.00130275
513  0.00377418  0.0007732
577  0.00216591  0.0015647
641  0.00447091  0.0015895
705  0.0043939  0.0011985
769  0.0124878  0.00272109
833  0.0252362  0.00225082
897  0.0241557  0.00384809
961  0.0167737  0.00417509
1025  0.0127065  0.0036129
1089  0.0171962  0.0028604
1153  0.0190464  0.0038226
1217  0.0241559  0.003819
1281  0.0327288  0.0047626
1345  0.0255299  0.00556318
1409  0.0252439  0.0048986
1473  0.0289607  0.0064245
1537  0.0413057  0.006504
1601  0.0319843  0.0078821
1665  0.0351635  0.0071019
1729  0.0374572  0.0079727
1793  0.0392805  0.0084738
1857  0.0420644  0.0105975
1921  0.0520454  0.009432
1985  0.050681  0.0092011
2049  0.0582936  0.0108288
2113  0.0600618  0.0111233
2177  0.0629573  0.0109734
2241  0.0634152  0.0135722
2305  0.0742355  0.0135387
2369  0.0786855  0.0144442
2433  0.0790735  0.014782
2497  0.0840693  0.0156257
2561  0.0888254  0.0155204
2625  0.0956268  0.0171405
2689  0.102741  0.0167002
2753  0.105359  0.018164
2817  0.108034  0.0200817
2881  0.117968  0.0192343
2945  0.125194  0.019932
3009  0.129024  0.0216598
3073  0.134855  0.0218575
3137  0.143457  0.0250247
3201  0.146226  0.02387
