P16	10000000 0.010351
P16	10000000 0.009682
P16	10000000 0.009025
P16	10000000 0.007931
P16	10000000 0.008216
P16	25000000 0.017577
P16	25000000 0.019457
P16	25000000 0.018361
P16	25000000 0.017790
P16	25000000 0.020070
P16	50000000 0.036859
P16	50000000 0.035481
P16	50000000 0.036928
P16	50000000 0.034512
P16	50000000 0.037028
P16	75000000 0.052825
P16	75000000 0.053969
P16	75000000 0.050781
P16	75000000 0.052539
P16	75000000 0.053684
P16	100000000 0.070063
P16	100000000 0.070642
P16	100000000 0.070525
P16	100000000 0.070359
P16	100000000 0.069410
P16	250000000 0.168328
P16	250000000 0.272059
P16	250000000 0.170575
P16	250000000 0.169540
P16	250000000 0.170595
P16	500000000 0.335284
P16	500000000 0.337106
P16	500000000 0.336283
P16	500000000 0.338269
P16	500000000 0.356215
P16	750000000 0.502176
P16	750000000 0.700458
P16	750000000 0.501133
P16	750000000 0.505364
P16	750000000 0.504164
P16	1000000000 0.669206
P16	1000000000 0.703705
P16	1000000000 0.676201
P16	1000000000 0.666620
P16	1000000000 0.666431
P16	1002000000 0.668431
P16	1002000000 0.668231
P16	1002000000 0.670160
P16	1002000000 0.902676
P16	1002000000 0.669979
