0	10000000 0.048825
0	10000000 0.048773
0	10000000 0.048810
0	10000000 0.048824
0	10000000 0.048810
0	25000000 0.122196
0	25000000 0.122200
0	25000000 0.122164
0	25000000 0.122189
0	25000000 0.122161
0	50000000 0.244323
0	50000000 0.244254
0	50000000 0.244280
0	50000000 0.244247
0	50000000 0.244221
0	75000000 0.366526
0	75000000 0.366385
0	75000000 0.366625
0	75000000 0.366423
0	75000000 0.366547
0	100000000 0.488731
0	100000000 0.488573
0	100000000 0.488165
0	100000000 0.488757
0	100000000 0.489233
0	250000000 1.221076
0	250000000 1.222415
0	250000000 1.221921
0	250000000 1.221909
0	250000000 1.219661
0	500000000 2.441299
0	500000000 2.441508
0	500000000 2.441527
0	500000000 2.441933
0	500000000 2.441698
0	750000000 3.663491
0	750000000 3.661879
0	750000000 3.661902
0	750000000 3.708727
0	750000000 3.711078
0	1000000000 4.917325
0	1000000000 4.917845
0	1000000000 4.947930
0	1000000000 4.918014
0	1000000000 4.918190
0	1002000000 4.960507
0	1002000000 4.934283
0	1002000000 4.932939
0	1002000000 4.932563
0	1002000000 4.932819
