S  10000000  1.82045  0
P1  10000000  1.82045  2.4277586924
P4  10000000  1.82045  3.4199313928
P7  10000000  1.82045  5.6776928067
P10  10000000  1.82045  4.9945128810
P13  10000000  1.82045  6.0117563528
P16  10000000  1.82045  7.2271339587
S  25000000  0.671789  0
P1  25000000  0.671789  2.3633239052
P4  25000000  0.671789  3.3856066523
P7  25000000  0.671789  5.5624565296
P10  25000000  0.671789  4.5593856469
P13  25000000  0.671789  5.7872932460
P16  25000000  0.671789  6.4326040120
S  50000000  1.89717  0
P1  50000000  1.89717  2.4007698985
P4  50000000  1.89717  3.3694161859
P7  50000000  1.89717  5.6484070061
P10  50000000  1.89717  4.7512991647
P13  50000000  1.89717  5.9547641691
P16  50000000  1.89717  6.8386694446
S  75000000  2.02396  0
P1  75000000  2.02396  2.4075988366
P4  75000000  2.02396  3.3580546789
P7  75000000  2.02396  5.6584351210
P10  75000000  2.02396  4.8270088886
P13  75000000  2.02396  5.9879056117
P16  75000000  2.02396  6.7984508362
S  100000000  2.70628  0
P1  100000000  2.70628  2.4296410679
P4  100000000  2.70628  3.4256492047
P7  100000000  2.70628  5.6895859393
P10  100000000  2.70628  5.0057988010
P13  100000000  2.70628  6.0256855567
P16  100000000  2.70628  7.2493008603
S  250000000  1.2214  0
P1  250000000  1.2214  2.3659171560
P4  250000000  1.2214  3.3991984860
P7  250000000  1.2214  5.6139802540
P10  250000000  1.2214  4.5792482894
P13  250000000  1.2214  5.8322708801
P16  250000000  1.2214  6.4210199822
S  500000000  2.44159  0
P1  500000000  2.44159  2.4071437726
P4  500000000  2.44159  3.3765545891
P7  500000000  2.44159  5.6373178300
P10  500000000  2.44159  4.7104933150
P13  500000000  2.44159  5.9526003725
P16  500000000  2.44159  7.1678443829
S  750000000  3.68142  0
P1  750000000  3.68142  2.4109788203
P4  750000000  3.68142  3.3612292971
P7  750000000  3.68142  5.6793894542
P10  750000000  3.68142  4.8654199431
P13  750000000  3.68142  6.0157951758
P16  750000000  3.68142  6.7840393322
S  1000000000  4.92386  0
P1  1000000000  4.92386  2.4346377112
P4  1000000000  4.92386  3.4320505760
P7  1000000000  4.92386  5.7124990573
P10  1000000000  4.92386  5.0623975719
P13  1000000000  4.92386  6.0467321052
P16  1000000000  4.92386  7.2791540329
S  1002000000  4.93862  0
P1  1002000000  4.93862  2.4048129175
P4  1002000000  4.93862  3.4509982041
P7  1002000000  4.93862  5.7052649819
P10  1002000000  4.93862  4.8484390339
P13  1002000000  4.93862  6.0327864847
P16  1002000000  4.93862  6.8985256217

