7120	133167356 63999943 84039133	63999943
7184	135570112 65155511 85554095	65155511
7248	138052228 66321383 87140368	66321383
7312	140722563 67496500 88913302	67496500
7376	143047250 68684231 90326069	68684231
7440	145507914 69881269 91867195	69881269
7504	147990244 71089235 93422066	71089235
7568	150515056 72306504 95011325	72306504
7632	153009112 73535003 96561647	73535003
7696	155584013 74773320 98185202	74773320
7760	158242155 76021862 99883942	76021862
7824	161100272 77279660 101781547	77279660
7888	163587077 78550162 103292858	78550162
7952	166217798 79830076 104940489	79830076
8016	168870016 81120644 106601697	81120644
8080	171566274 82420660 108298843	82420660
8144	174228427 83731931 109953688	83731931
